city,latitude,longitude,name,province
Pleasant Hill,37.953026,-122.059777,Taco Bell,CA
Acworth,34.04479,-84.69587,Burger King,GA
Acworth,34.0344,-84.68075,Arbys,GA
Marietta,34.02467,-84.528218,Mcdonalds,GA
Kingsburg,36.51788,-119.563527,Taco Bell,CA
Pismo Beach,35.134484,-120.605221,Taco Bell,CA
Grover Beach,35.121085,-120.612819,Taco Bell,CA
Nipomo,35.037452,-120.483624,Taco Bell,CA
Bakersfield,35.389522,-119.003386,Taco Bell,CA
Bakersfield,35.389522,-119.003386,Taco Bell,CA
Dodge City,37.752962,-100.025416,Arbys,KS
Dodge City,37.752962,-100.025416,Arbys,KS
Bakersfield,35.380387,-119.020827,Taco Bell,CA
Tulare,36.227047,-119.330843,Taco Bell,CA
Tulare,36.208664,-119.342028,Taco Bell,CA
Gainesville,29.652081,-82.333303,Taco Bell,FL
Coeur d'Alene,47.700486,-116.795134,Arbys,ID
Coeur d'Alene,47.700486,-116.795134,Arbys,ID
Spring Grove,39.882529,-76.864965,Subway,PA
Waynesboro,39.753163,-77.573373,Subway,PA
Snow Shoe,41.026843,-77.935809,Subway,PA
Mansfield,41.799828,-77.076281,Subway,PA
Camp Hill,40.222472,-76.930148,Subway,PA
Roaring Spring,40.331501,-78.386171,Subway,PA
Erie,42.086667,-80.142521,Subway,PA
Erie,42.068814,-80.038942,Subway,PA
Erie,42.114222,-80.034149,Subway,PA
Titusville,41.627797,-79.673326,Subway,PA
White City,42.424354,-122.85108,Mcdonalds,OR
West Linn,45.346352,-122.651045,Mcdonalds,OR
West Linn,45.391447,-122.646082,Mcdonalds,OR
West Linn,45.391447,-122.646082,Mcdonalds,OR
Troutdale,45.543827,-122.3976,Mcdonalds,OR
Hialeah,25.85236,-80.319439,Arbys,FL
Appleton,44.272996,-88.470975,Taco Bell,WI
Bear,39.630468,-75.666136,Chick Fil-A,DE
Bear,39.630185,-75.664759,Burger King,DE
Springfield,44.045685,-122.928465,Mcdonalds,OR
Salem,44.949393,-122.992538,Mcdonalds,OR
Salem,44.947221,-123.049783,Mcdonalds,OR
Salem,44.947221,-123.049783,Mcdonalds,OR
Gainesville,29.637631,-82.338916,Arbys,FL
Salem,44.881341,-123.029824,Mcdonalds,OR
Milton,30.592351,-87.174869,Mcdonalds,FL
Bridgeville,40.366766,-80.106088,Sonic,PA
Canonsburg,40.255621,-80.153666,Sonic,PA
Hinesville,31.843914,-81.593593,Mcdonalds,GA
Hinesville,31.828902,-81.617553,Mcdonalds,GA
Navarre,30.401603,-86.866497,Burger King,FL
Gainesville,34.296844,-83.837155,Mcdonalds,GA
Roseburg,43.23357,-123.372345,Mcdonalds,OR
Hartwell,34.357912,-82.941308,Mcdonalds,GA
Hawkinsville,32.282152,-83.465677,Mcdonalds,GA
Redmond,44.267184,-121.194265,Mcdonalds,OR
Portland,45.496867,-122.570625,Mcdonalds,OR
Portland,45.534074,-122.660326,Mcdonalds,OR
Portland,45.518568,-122.474804,Mcdonalds,OR
Gainesville,34.33859,-83.847194,Mcdonalds,GA
Portland,45.547097,-122.578418,Mcdonalds,OR
Flowery Branch,34.113731,-83.875289,Mcdonalds,GA
Portland,45.610301,-122.680866,Mcdonalds,OR
Fitzgerald,31.700147,-83.250732,Mcdonalds,GA
Elberton,34.109957,-82.864359,Mcdonalds,GA
Portland,45.581668,-122.661459,Mcdonalds,OR
Portland,45.443493,-122.628779,Mcdonalds,OR
Portland,45.516651,-122.679915,Mcdonalds,OR
Portland,45.523,-122.689866,Mcdonalds,OR
Atlanta,33.895572,-84.283386,Mcdonalds,GA
Portland,45.586771,-122.738535,Mcdonalds,OR
Portland,45.511068,-122.682941,Mcdonalds,OR
Portland,45.497752,-122.635837,Mcdonalds,OR
Douglasville,33.724674,-84.762459,Mcdonalds,GA
Ellijay,34.677928,-84.47945,Mcdonalds,GA
Oregon City,45.368912,-122.601786,Mcdonalds,OR
